problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train/look_at_obj_in_light-Cloth-None-DeskLamp-303/trial_T20190908_131610_591705,examine a towel with a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o ClothType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation cloth)
(PickupObject cloth)
(GotoLocation desklamp)
(ToggleObject desklamp)","(GotoLocation cabinet)
(PickupObject towel)
(GotoLocation lamp)
(ExamineObject towel lamp)
"
train/look_at_obj_in_light-Cloth-None-DeskLamp-303/trial_T20190908_131610_591705,examine a towel with a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o ClothType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation cloth)
(PickupObject cloth)
(GotoLocation desklamp)
(ToggleObject desklamp)","(GotoLocation cabinet)
(PickupObject towel)
(GotoLocation lamp)
(ExamineObject towel lamp)
"
train/look_at_obj_in_light-Cloth-None-DeskLamp-303/trial_T20190908_131610_591705,examine a towel with a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o ClothType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation cloth)
(PickupObject cloth)
(GotoLocation desklamp)
(ToggleObject desklamp)","(GotoLocation cabinet)
(PickupObject towel)
(GotoLocation lamp)
(ExamineObject towel lamp)
"
train/look_at_obj_in_light-Cloth-None-DeskLamp-303/trial_T20190908_131610_591705,examine a towel with a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o ClothType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation cloth)
(PickupObject cloth)
(GotoLocation desklamp)
(ToggleObject desklamp)","(GotoLocation bathroom)
(PickupObject towel)
(GotoLocation bedroom)
(GotoLocation desk)
(GotoLocation lamp)
(TurnOnObject lamp)
(ExamineObject towel lamp)
"
train/look_at_obj_in_light-Cloth-None-DeskLamp-303/trial_T20190908_131610_591705,examine a towel with a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o ClothType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation cloth)
(PickupObject cloth)
(GotoLocation desklamp)
(ToggleObject desklamp)","(GotoLocation cabinet)
(PickupObject towel)
(GotoLocation lamp)
(ExamineObject towel lamp)
"
train/pick_cool_then_place_in_recep-Mug-None-CoffeeMachine-20/trial_T20190906_161428_039508,put a chilled mug on the coffee maker.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o MugType) 
                (receptacleType ?r CoffeeMachineType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject mug)
(GotoLocation fridge)
(CoolObject mug)
(GotoLocation coffeemachine)
(PutObject mug coffeemachine)","(GotoLocation fridge)
(PickupObject mug)
(GotoLocation coffeemaker)
(PutObject mug coffeemaker)
"
train/pick_cool_then_place_in_recep-Mug-None-CoffeeMachine-20/trial_T20190906_161428_039508,put a chilled mug on the coffee maker.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o MugType) 
                (receptacleType ?r CoffeeMachineType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject mug)
(GotoLocation fridge)
(CoolObject mug)
(GotoLocation coffeemachine)
(PutObject mug coffeemachine)","(GotoLocation fridge)
(PickupObject mug)
(GotoLocation coffeemaker)
(PutObject mug coffeemaker)
"
train/pick_cool_then_place_in_recep-Mug-None-CoffeeMachine-20/trial_T20190906_161428_039508,put a chilled mug on the coffee maker.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o MugType) 
                (receptacleType ?r CoffeeMachineType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject mug)
(GotoLocation fridge)
(CoolObject mug)
(GotoLocation coffeemachine)
(PutObject mug coffeemachine)","(GotoLocation fridge)
(PickupObject mug)
(GotoLocation countertop)
(PutObject mug countertop)
(GotoLocation coffeemaker)
(PutObject mug coffeemaker)
"
train/pick_cool_then_place_in_recep-Mug-None-CoffeeMachine-20/trial_T20190906_161428_039508,put a chilled mug on the coffee maker.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o MugType) 
                (receptacleType ?r CoffeeMachineType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject mug)
(GotoLocation fridge)
(CoolObject mug)
(GotoLocation coffeemachine)
(PutObject mug coffeemachine)","(GotoLocation fridge)
(PickupObject mug)
(GotoLocation coffeemaker)
(PutObject mug coffeemaker)
"
train/pick_cool_then_place_in_recep-Mug-None-CoffeeMachine-20/trial_T20190906_161428_039508,put a chilled mug on the coffee maker.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o MugType) 
                (receptacleType ?r CoffeeMachineType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject mug)
(GotoLocation fridge)
(CoolObject mug)
(GotoLocation coffeemachine)
(PutObject mug coffeemachine)","(GotoLocation cabinet)
(PickupObject mug)
(GotoLocation fridge)
(PickupObject chilledmug)
(GotoLocation coffeemaker)
(PutObject chilledmug coffeemaker)
"
train/look_at_obj_in_light-TissueBox-None-FloorLamp-225/trial_T20190907_150815_536818,to see the tissue box in the lamp light.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o TissueBoxType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation tissuebox)
(PickupObject tissuebox)
(GotoLocation floorlamp)
(ToggleObject floorlamp)","(GotoLocation desklamp)
(TurnOnLight desklamp)
(GotoLocation sidetable)
(PickupObject tissuebox)
(GotoLocation desklamp)
(PutObject tissuebox desklamp)
"
train/look_at_obj_in_light-TissueBox-None-FloorLamp-225/trial_T20190907_150815_536818,to see the tissue box in the lamp light.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o TissueBoxType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation tissuebox)
(PickupObject tissuebox)
(GotoLocation floorlamp)
(ToggleObject floorlamp)","(GotoLocation desk)
(GotoLocation lamp)
(TurnOnObject lamp)
(GotoLocation tissuebox)
(TurnOnObject lamp)
"
